Observed;Simulated
0.1789719;0.077453
0.1785591;0.07681
0.1793846;0.076221
0.1793846;0.075583
0.1797998;0.074829
0.1806326;0.074053
0.1831357;0.073341
0.1848183;0.072679
0.1869379;0.072116
0.1912164;0.071661
0.1946844;0.071323
0.198192;0.071078
0.2053391;0.070805
0.2089539;0.07041
0.2107802;0.069959
0.2107802;0.069579
0.2121594;0.069453
0.2130814;0.069651
0.2144681;0.069999
0.2144681;0.070363
0.2144681;0.070604
0.2135436;0.070578
0.2140059;0.070251
0.2121594;0.069672
0.2126216;0.069016
0.2144681;0.068598
0.2140059;0.068582
0.2116997;0.068872
0.2116997;0.069204
0.2126191;0.069316
0.2130814;0.069025
0.2135436;0.068385
0.2130814;0.067597
0.2130814;0.066821
0.2130814;0.066183
0.2126191;0.065667
0.2126191;0.06522
0.2126191;0.064836
0.2126191;0.064519
0.2126191;0.064266
0.2126191;0.064056
0.2126191;0.063829
0.2126191;0.063532
0.2126191;0.063168
0.2126191;0.062773
0.2126191;0.06241
0.2126191;0.062115
0.2126191;0.061867
0.2126191;0.061658
0.2112399;0.061479
0.2107802;0.061319
0.2107802;0.061167
0.2107802;0.061016
0.2107802;0.060867
0.2107802;0.060722
0.2107802;0.060582
0.210323;0.060447
0.210323;0.060313
0.2098683;0.060172
0.2071327;0.060004
0.2080421;0.059785
0.2080421;0.059485
0.2084968;0.059085
0.2075874;0.058581
0.2084968;0.057975
0.2075874;0.057266
0.2071327;0.056469
0.2098759;0.055608
0.2080421;0.054757
0.2071327;0.05401
0.2071327;0.053424
0.2071327;0.053017
0.2071327;0.052749
0.2071327;0.052559
0.2085043;0.05243
0.2085043;0.052338
0.2071327;0.052255
0.2071327;0.052174
0.2071327;0.052094
0.2071327;0.052013
0.2071327;0.051933
0.2071327;0.051851
0.2071327;0.051758
0.2071327;0.051632
0.2071327;0.051439
0.2066806;0.05115
0.2062284;0.050764
0.2062284;0.050313
0.2053241;0.049859
0.2053241;0.049467
0.2053241;0.04917
0.2039751;0.048965
0.2035254;0.048831
0.2035254;0.048738
0.2035254;0.048663
0.2035254;0.048595
0.2035254;0.048527
0.2035254;0.04846
0.2035254;0.048393
0.2035254;0.048326
0.2035254;0.048259
0.2035254;0.048192
0.202184;0.048126
0.2035305;0.048059
0.2017368;0.047993
0.2017368;0.047926
0.2017368;0.04786
0.2017368;0.047794
0.2017368;0.047728
0.2012922;0.047662
0.1999582;0.047596
0.1999582;0.04753
0.1999582;0.047465
0.1999582;0.047399
0.1999582;0.047334
0.1999582;0.047268
0.1999582;0.047203
0.1999582;0.047138
0.1999582;0.047073
0.1999582;0.047008
0.1999582;0.046943
0.1999582;0.046879
0.199516;0.046814
0.1981895;0.04675
0.1981895;0.046685
0.1981895;0.046621
0.1981895;0.046557
0.1981895;0.046493
0.1981895;0.046429
0.1981895;0.046365
0.1981895;0.046301
0.1981895;0.046238
0.1981895;0.046174
0.1968705;0.046111
0;0.046048
0;0.045984
0;0.045921
0;0.045858
0;0.045795
0;0.045733
0;0.04567
0;0.045607
0;0.045545
0;0.045482
0;0.04542
0;0.045358
0;0.045296
0;0.045234
0;0.045172
0;0.04511
0;0.045049
0;0.044987
0;0.044926
0;0.044864
0;0.044803
0;0.044742
0;0.044681
0;0.04462
0;0.044559
0;0.044498
0;0.044437
0;0.044377
0;0.044316
0;0.044256
0;0.044196
0;0.044135
0;0.044075
0;0.044015
0;0.043955
0;0.043896
0;0.043836
0;0.043776
0;0.043717
0;0.043657
0;0.043598
0;0.043539
0;0.04348
0;0.043421
0;0.043362
0;0.043303
0;0.043244
0;0.043185
0;0.043127
0;0.043068
0;0.04301
0;0.042952
0;0.042894
0;0.042836
0;0.042778
0;0.04272
0;0.042662
0;0.042604
0;0.042547
0;0.042489
0;0.042432
0;0.042374
0;0.042317
0;0.04226
0;0.042203
0;0.042146
0;0.042089
0;0.042032
0;0.042015
0;0.042126
0;0.042478
0;0.043117
0;0.043911
0;0.044576
0;0.044838
0;0.044596
0;0.044015
0;0.04337
0;0.042835
0;0.042443
0;0.042131
0;0.041878
0;0.04167
0;0.041492
0;0.041333
0;0.041191
0;0.041065
0;0.04096
0;0.040876
0;0.041126
0;0.042406
0;0.045352
0;0.050193
0;0.056448
0;0.063082
0;0.069217
0;0.07409
0;0.076835
0;0.07666
0;0.073106
0;0.066995
0;0.060628
0;0.056035
0;0.053346
0;0.051927
0;0.05113
0;0.050275
0;0.049064
0;0.047473
0;0.045854
0;0.044531
0;0.043443
0;0.042708
